session,max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing))
Neutral_405,8745.0,7572.38181818,147355.872397
Neutral_406,8329.0,7362.14545455,135946.742479
Neutral_407,7854.0,7311.25454545,66684.8806612
Neutral_408,7940.0,7336.23636364,111429.81686
Neutral_409,9347.0,7579.38181818,204525.545124
Neutral_410,8396.0,7630.65454545,117642.117025
Neutral_411,8133.0,7348.09090909,157346.300826
Neutral_412,8247.0,7581.27272727,90270.6347107
Neutral_413,8648.0,7648.74545455,140550.262479
Neutral_414,8468.0,7686.83636364,124509.918678
Neutral_415,8340.0,7656.63636364,100674.413223
Neutral_416,8686.0,7612.41818182,164683.479669
Neutral_417,8435.0,7593.56363636,105571.227769
Neutral_418,9036.0,7602.69090909,139088.57719
Neutral_419,8418.0,7426.05454545,168761.833388
Neutral_420,8191.0,7305.14545455,202072.706116
Neutral_421,8241.0,7621.2,121751.832727
Neutral_422,8304.0,7594.89090909,105699.406281
Neutral_423,8821.0,7661.52727273,137109.667438
Neutral_424,8620.0,8152.76363636,125274.835041
Neutral_425,9070.0,7980.51923077,186261.038092
Neutral_426,8771.0,6950.25454545,524214.37157
Neutral_427,8366.0,7260.4,274316.785455
Neutral_428,7897.0,6970.07272727,133844.321983
Neutral_429,8176.0,7051.27272727,184051.471074
Neutral_430,7733.0,6971.49090909,138669.740826
Neutral_431,8155.0,7197.67272727,153443.456529
Neutral_432,8547.0,7729.49295775,224129.433049
Neutral_433,8361.0,7535.55,148185.380833
Neutral_434,8112.0,7447.10909091,90811.1517355
Neutral_435,7981.0,7474.98181818,116318.70876
Neutral_436,8249.0,7509.89090909,116850.642645
Neutral_437,8417.0,7368.49090909,248594.504463
Neutral_438,8302.0,7270.56363636,189103.082314
Neutral_439,8219.0,7444.58181818,135014.025124
Neutral_440,8437.0,7697.43636364,127638.791405
Neutral_441,8474.0,7670.18181818,122026.876033
Neutral_442,8744.0,7654.01818182,149335.436033
Neutral_443,8413.0,7612.69090909,151107.049917
Neutral_444,8564.0,7586.0,139116.545455
Neutral_445,8378.0,7520.70909091,123340.89719
Neutral_446,8173.0,7609.25454545,92961.098843
Neutral_447,8723.0,7334.56363636,211138.791405
Neutral_448,8444.0,7635.36363636,108947.625344
Neutral_449,9029.0,7978.07042254,137357.924618
Neutral_450,8108.0,6798.04878049,537654.582986
Neutral_451,8308.0,7147.18181818,234359.021488
Neutral_452,8360.0,7427.0,178366.727273
Neutral_453,8279.0,7423.10909091,149323.442645
Neutral_454,8599.0,7459.85454545,284571.178843
Neutral_455,7970.0,7180.01818182,152986.236033
Neutral_456,7793.0,7106.65454545,142625.280661
Neutral_457,8707.0,7692.70909091,199314.351736
Neutral_458,8384.0,7630.07272727,198775.921983
Neutral_459,8476.0,7589.69090909,207485.195372
Neutral_460,8379.0,7616.96103896,188399.491989
