session,max(max(cepstrum)),max(mean(cepstrum)),max(var(cepstrum)),mean(max(cepstrum)),mean(mean(cepstrum)),mean(var(cepstrum)),var(max(cepstrum)),var(mean(cepstrum)),var(var(cepstrum))
Angry_198,5.91632879572,0.000729289199655,0.00429166093097,3.8836794903,0.000451960771463,0.00267561394009,0.554606683737,4.5066796992e-08,3.68252924207e-07
Angry_199,5.26621271803,0.000665959602431,0.00351732291376,3.77901877727,0.000385998295338,0.00260543632748,0.384912186686,4.33471730639e-08,2.43567212954e-07
Angry_2,6.78154592187,0.000811520129955,0.00500079495954,4.29615464437,0.000543821182987,0.00278265214965,1.4494295593,3.95403720312e-08,8.04497839954e-07
Angry_20,5.76633528814,0.000725575816851,0.00423944089685,3.81817118568,0.000461595599453,0.00262901525978,0.505869371208,1.90045813655e-08,3.25882008185e-07
Angry_200,4.96188247724,0.000713559674533,0.00388251631535,3.72616205914,0.000411731921628,0.00267480382166,0.243340915784,3.43065212124e-08,2.77518055001e-07
Angry_201,5.74484029314,0.000791501292267,0.00392901289152,3.75432225068,0.00047255853886,0.00253549494562,0.666732531214,3.3994031187e-08,4.11232526035e-07
Angry_202,4.97005881954,0.000721566186182,0.0036926253963,3.62486263565,0.000417251369025,0.00252494082449,0.294426616323,2.31265569892e-08,2.42153478595e-07
Angry_203,5.63096680287,0.000746476771439,0.00380067762415,3.90028809483,0.000396161455311,0.00274735750793,0.464917552697,3.89535958896e-08,3.06886446656e-07
Angry_204,4.99197489688,0.000652565533273,0.00357598343005,3.78413484544,0.000398293280427,0.00269436805037,0.16683897629,4.0815204813e-08,1.47010906075e-07
Angry_205,4.54472585415,0.000674257858996,0.00349172279409,3.60710286247,0.000445250084536,0.00256119233491,0.261126551309,2.54360055126e-08,2.61775373771e-07
Angry_206,5.89427794097,0.000719641566966,0.0039867473294,3.62651592751,0.000428911679631,0.00253452021474,0.359365003671,1.92121269014e-08,2.68683834041e-07
Angry_207,5.73725043359,0.00072886864094,0.00412051440483,3.96605827288,0.000411960404865,0.00280339636556,0.488137020989,4.23631613148e-08,3.20911672996e-07
Angry_208,7.96235313823,0.00101803037074,0.00626980097954,5.22639634337,0.0006362619477,0.00390750905086,4.44067000632,5.18753882047e-08,2.32271498586e-06
Angry_209,7.78676383239,0.00116876904453,0.00583550576941,4.90154651421,0.000646948820137,0.00341062505036,1.87861694478,4.56844758171e-08,9.31770562658e-07
Angry_21,4.8532049673,0.000794967992284,0.00336453828295,3.62089311353,0.000462840244857,0.00252587056515,0.240026344953,3.74004675823e-08,1.78601850867e-07
Angry_210,5.74606978524,0.000688424188516,0.00436414589144,4.03101831547,0.000427584754392,0.0029665804542,0.468261867348,3.02242934148e-08,3.94168768949e-07
Angry_211,7.41721706923,0.00108788087548,0.005225081021,4.95774893901,0.000680594105832,0.00340973816971,2.02762874839,5.27023366098e-08,1.07069196065e-06
Angry_212,6.28919261416,0.000914862659672,0.00478333167495,4.41450859882,0.000614592035842,0.00311424098539,0.754080818535,4.70916142099e-08,3.60771990482e-07
Angry_213,9.16146478013,0.001121833137,0.00768892690497,5.13434174409,0.000616631585498,0.00369042739479,2.57731994176,5.17619713791e-08,1.5579014645e-06
Angry_214,6.7123918202,0.000981370579324,0.00434666520532,3.86122181216,0.000582058749295,0.00275556439504,0.545813507978,4.20693407546e-08,2.26035055872e-07
Angry_215,7.82272409705,0.000927005426587,0.0051139285142,5.08558199968,0.000578186925278,0.00344492825031,1.5180090642,6.50284235763e-08,7.4594678752e-07
